"Data Source","World Development Indicators",

"Last Updated Date","2021-03-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Argentina","ARG","Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)","SL.EMP.1524.SP.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.5099983215332","33.0099983215332","28.0400009155273","26.4699993133545","20.2000007629395","22.0300006866455","23.3700008392334","25.8299999237061","24.8600006103516","24.1900005340576","23.3600006103516","21.8600006103516","23.7999992370605","25.6100006103516","25.4400005340576","26.8999996185303","27.4599990844727","27.0900001525879","25.7900009155273","24.4099998474121","24.8600006103516","24.0900001525879","23.7900009155273","23.1499996185303","23.0200004577637","22.6100006103516","22.3199996948242","22.8400001525879","22.4200000762939","",
"Argentina","ARG","Poverty headcount ratio at national poverty lines (% of population)","SI.POV.NAHC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.3","25.7","32","35.5","",
"Argentina","ARG","Proportion of people living below 50 percent of median income (%)","SI.DST.50MD","","","","","","","","","","","","","","","","","","","","","19.3","","","","","","17.9","18.7","","","","17.2","19.6","20.1","20.7","21.2","22.5","22.2","23","22.8","24.7","25.1","25.9","24.5","24.1","23.6","23","23.2","21.9","22.1","21.6","20.7","20.2","20.2","20.2","","20.7","19.5","20.3","21.3","",
"Argentina","ARG","Domestic general government health expenditure (% of current health expenditure)","SH.XPD.GHED.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.73170471","54.85204315","54.55613708","54.71241379","51.7989769","51.41910172","52.60231018","54.30964279","55.09854507","59.96014023","58.95255661","60.32122803","62.42687225","63.59713745","65.42354584","66.71373749","62.11119843","63.20079422","61.40730286","","",
"Argentina","ARG","Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD)","SH.UHC.NOP2.CG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.757989883422852","","","","","","","","0.690540075302124","","","","","","","","","","","","","","","","",
"Argentina","ARG","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.5","","","","","9","","","","","8.7","","","","","8.8","9.2","","","","",
"Argentina","ARG","Diarrhea treatment (% of children under 5 receiving oral rehydration and continued feeding)","SH.STA.ORCF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59.1","","","","","","","","",
"Argentina","ARG","Exclusive breastfeeding (% of children under 6 months)","SH.STA.BFED.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54","32","","","","","","","","",
"Argentina","ARG","Lifetime risk of maternal death (%)","SH.MMR.RISK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.177867198555016","0.178208295212495","0.17072937811621","0.169379455775768","0.1577696714638","0.150518521819536","0.145880561018034","0.142463437896611","0.133923813824042","0.138703629005199","0.125610915637969","0.119321261920035","0.114201724251702","0.108466163908373","0.102548973963198","0.0994964441798539","0.0955825870424317","0.0919574330196077","","","",
"Argentina","ARG","Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)","SH.HIV.INCD.YG.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","0.11","0.14","0.16","0.17","0.18","0.2","0.23","0.23","0.2","0.21","0.19","0.17","0.18","0.19","0.18","0.18","0.18","0.17","0.18","0.17","0.17","0.17","0.17","0.17","0.17","0.16","0.16","0.15","0.16","",
